Auteur;Titel;Journal;Jaar;Volume;Issue;Pages;Abstract;DOI
"J. Morley; C. Machado; C. Burr; Josh Cowls; Indra Joshi; M. Taddeo; L. Floridi";The ethics of AI in health care: A mapping review;Social science & medicine;2020;260;;113172;;10.1016/j.socscimed.2020.113172
"Assia Mairi; Lamia Hamza; Abdelaziz Touati";Artificial intelligence and its application in clinical microbiology;Expert Review of Anti-infective Therapy;2025;23;7;469–490;;10.1080/14787210.2025.2484284
"S. Ahmadi; M. Amirzadeh; M. Ahmadi; S. Soleiman-Meigooni";From Outbreaks to Artificial Intelligence: A Comprehensive Review of Monkeypox Virus Epidemiology, Diagnosis, Treatment, Vaccination, and Deep Learning Applications;J Trop Med;2024;2024;;6688914;Objectives: After the global impact of the COVID-19 pandemic, concerns over virus transmission have risen. A state of health emergency was declared in 2022 due to Clade 2 of the monkeypox (MPOX) virus. In August 2024, another emergency was declared by the World Health Organization (WHO) because of the widespread Clade 1b, which caused a more severe and lethal disease. This review synthesizes current MPOX knowledge to assist policymakers, clinicians, and researchers in developing effective diagnostics, therapeutic interventions, vaccination strategies, and outbreak management. Methods: This systematic review study searched for articles on virus epidemiology, virology, clinical features, transmission routes, available drugs and vaccines, and new artificial intelligence (AI) applications in diagnosis and drug discovery. Results: MPOX virus is a 200-250-nm, double-stranded DNA (ds-DNA) virus that causes smallpox-like skin lesions. Tecovirimat is the primary drug for severe cases, especially in people with suppressed immune systems. Smallpox vaccines can help prevent MPOX infection because of the genetic similarities between the MPOX and smallpox viruses. AI-based models can assist medical teams in promptly diagnosing MPOX skin lesions, improving decision-making for treatment. Conclusion: This review highlights the importance of using traditional public health knowledge alongside modern AI to manage MPOX outbreaks effectively. It shows that we need strong public health policies, focused interventions, and ongoing research on how AI can help control infectious diseases.;10.1155/jotm/6688914
P.Z. Janakbari;Application of artificial intelligence for prediction, diagnosis and treatment of infectious diseases;2025 International Conference on Control, Automation and Diagnosis (ICCAD);2025;;;1–6;;10.1109/ICCAD64771.2025.11099079
"S. Abbara; Y. Crabol; J. Goupil de Bouillé; A. Dinh; D. Morquin";Artificial intelligence and infectious diseases: Scope and perspectives;Infectious Diseases Now;2025;55;7;105131;Artificial intelligence (AI) is set to permeate every facet of infectious disease practice—from prevention and public health surveillance to epidemic management and bedside care. Routine care data (laboratory results, medication orders, progress notes) and research-generated datasets now fuel state-of-the-art machine-learning (ML) pipelines that sharpen diagnosis, prognosis, antimicrobial stewardship, and, by combining both sources, accelerate drug discovery. In diagnostics, deep networks that now flag pneumonia or tuberculosis on chest images are increasingly able to identify—and localize—virtually more infectious processes throughout the body, while simultaneously predicting pathogen identity and antimicrobial resistance from routine microbiology. Prognostic models trained on Electronic Health Records surpass traditional scores in anticipating clinical deterioration or postoperative sepsis, enabling earlier targeted interventions. Predictive analytics can also personalize antimicrobial dosing by fusing real-time drug-monitoring data. Large language models (LLMs) build upon these advances by transforming unstructured clinical narratives into structured phenotypes suitable for predictive modeling, automatically summarizing patient encounters, generating synthetic cohorts for rare conditions, and providing real-time conversational decision support at the patient’s bedside. Despite rapid progress, real-world deployment faces hurdles: high computational and licensing costs, vendor-specific implementation constraints, limited cross-site model transferability, and fragmented governance of safety, bias, and cybersecurity risks. Rigorous, lifecycle-based evaluation frameworks—covering external validation, cost-effectiveness analysis, and post-deployment monitoring—are required to ensure safe, equitable, and sustainable AI adoption. This review synthesizes current applications, evidential strengths, and unresolved challenges, and proposes a translational roadmap aligning technical innovation with clinical and regulatory realities.;https://doi.org/10.1016/j.idnow.2025.105131
"Yashpal Singh Malik; Shubhankar Sircar; Sudipta Bhat; Mohd Ikram Ansari; Tripti Pande; Prashant Kumar; Basavaraj Mathapati; Ganesh Balasubramanian; Rahul Kaushik; Senthilkumar Natesan; Sayeh Ezzikouri; Mohamed E. El Zowalaty; Kuldeep Dhama";How artificial intelligence may help the Covid-19 pandemic: Pitfalls and lessons for the future;Reviews in Medical Virology;2021;31;5;e2205;Summary The clinical severity, rapid transmission and human losses due to coronavirus disease 2019 (Covid-19) have led the World Health Organization to declare it a pandemic. Traditional epidemiological tools are being significantly complemented by recent innovations especially using artificial intelligence (AI) and machine learning. AI-based model systems could improve pattern recognition of disease spread in populations and predictions of outbreaks in different geographical locations. A variable and a minimal amount of data are available for the signs and symptoms of Covid-19, allowing a composite of maximum likelihood algorithms to be employed to enhance the accuracy of disease diagnosis and to identify potential drugs. AI-based forecasting and predictions are expected to complement traditional approaches by helping public health officials to select better response and preparedness measures against Covid-19 cases. AI-based approaches have helped address the key issues but a significant impact on the global healthcare industry is yet to be achieved. The capability of AI to address the challenges may make it a key player in the operation of healthcare systems in future. Here, we present an overview of the prospective applications of the AI model systems in healthcare settings during the ongoing Covid-19 pandemic.;https://doi.org/10.1002/rmv.2205
"Daniele Roberto Giacobbe; Yudong Zhang; José de la Fuente";Explainable artificial intelligence and machine learning: novel approaches to face infectious diseases challenges;Annals of Medicine;2023;55;2;2286336;;
"Ishnoor Kaur; Tapan Behl; Lotfi Aleya; Habibur Rahman; Arun Kumar; Sandeep Arora; Israt Jahan Bulbul";Artificial intelligence as a fundamental tool in management of infectious diseases and its current implementation in COVID-19 pandemic;Environmental Science and Pollution Research;2021;28;30;40515–40532;;
"Jawad Rasheed; Akhtar Jamil; Alaa Ali Hameed; Usman Aftab; Javaria Aftab; Syed Attique Shah; Dirk Draheim";A survey on artificial intelligence approaches in supporting frontline workers and decision makers for the COVID-19 pandemic;Chaos, Solitons & Fractals;2020;141;;110337;"While the world has experience with many different types of infectious diseases, the current crisis related to the spread of COVID-19 has challenged epidemiologists and public health experts alike, leading to a rapid search for, and development of, new and innovative solutions to combat its spread. The transmission of this virus has infected more than 18.92 million people as of August 6, 2020, with over half a million deaths across the globe; the World Health Organization (WHO) has declared this a global pandemic. A multidisciplinary approach needs to be followed for diagnosis, treatment and tracking, especially between medical and computer sciences, so, a common ground is available to facilitate the research work at a faster pace. With this in mind, this survey paper aimed to explore and understand how and which different technological tools and techniques have been used within the context of COVID-19. The primary contribution of this paper is in its collation of the current state-of-the-art technological approaches applied to the context of COVID-19, and doing this in a holistic way, covering multiple disciplines and different perspectives. The analysis is widened by investigating Artificial Intelligence (AI) approaches for the diagnosis, anticipate infection and mortality rate by tracing contacts and targeted drug designing. Moreover, the impact of different kinds of medical data used in diagnosis, prognosis and pandemic analysis is also provided. This review paper covers both medical and technological perspectives to facilitate the virologists, AI researchers and policymakers while in combating the COVID-19 outbreak.";https://doi.org/10.1016/j.chaos.2020.110337
"Dmytro Chumachenko; Sergiy Yakovlev";Artificial Intelligence Applications in Public Health;Computation;2025;13;2;53;;
"Massimo Cavallaro; Ed Moran; Benjamin Collyer; Noel D McCarthy; Christopher Green; Matt J Keeling";Informing antimicrobial stewardship with explainable AI;PLOS digital health;2023;2;1;e0000162;;
"Adamu Muhammad Ibrahim; Mohamed Mustaf Ahmed; Shuaibu Saidu Musa; Usman Abubakar Haruna; Mohammed Raihanatu Hamid; Ayodele Isaac Adedokun; Aishat Muhammad Saleh; Don Lucero-Prisno Eliso";Harnessing artificial intelligence for predictive modeling in combating antimicrobial resistance: a call for integration and innovation;BMC Artificial Intelligence;2025;1;1;1;Antimicrobial resistance (AMR) represents a critical global health challenge with profound socioeconomic and public health implications. The rise of resistant microorganisms undermines the effectiveness of antibiotics, antivirals, antifungals, and other antimicrobial agents, leading to increased mortality, prolonged illnesses, and escalating medical costs. This study underscores the urgent need for innovative solutions, focusing on the integration of artificial intelligence (AI) to combat AMR. AI, with its rapid data processing, predictive modeling capabilities, and cost-effectiveness, emerges as a transformative tool in mitigating this global crisis. AI-driven predictive models have demonstrated remarkable accuracy in identifying AMR patterns by analyzing vast datasets encompassing patient demographics, antibiotic usage, and environmental factors. These models enhance the precision of antibiotic therapy, guide antimicrobial stewardship programs, and provide early warnings for resistance outbreaks. Furthermore, AI facilitates the development of novel antimicrobial agents, accelerates drug discovery, and supports precision medicine by tailoring treatments to individual patients' profiles. The effective application of AI in addressing AMR necessitates interdisciplinary collaboration among healthcare professionals, microbiologists, policymakers, and AI specialists. This paper calls for robust policy frameworks, dedicated funding, and global partnerships to integrate AI into healthcare systems for AMR surveillance, prevention, and control. Embracing AI innovation is pivotal to safeguarding global public health and ensuring a sustainable future free from the threat of antimicrobial resistance.;10.1186/s44398-025-00001-w
"A. Howard; N. Reza; P. L. Green; M. Yin; E. Duffy; H. C. Mwandumba; A. Gerada; W. Hope";Artificial intelligence and infectious diseases: tackling antimicrobial resistance, from personalised care to antibiotic discovery;Lancet Infect Dis;2025;;;;Antimicrobial resistance (AMR) is an intractable problem that has the potential to significantly limit advances in human health. Recently, the UN General Assembly (UNGA) High-Level Statement on AMR defined targets for addressing the impact of resistance on human, animal, and environmental health. For human health, the discovery and development of new antibiotics, antimicrobial stewardship programmes, antimicrobial surveillance, and infection control and prevention are all key areas. Artificial intelligence (AI) is ideally placed to help achieve the UNGA targets via its role in revealing patterns in data that are clinically indiscernible, and using that information to build clinical decision support systems. However, significant barriers remain in terms of necessary infrastructure, know-how, and the implementation of AI approaches. In this Series paper, we consider the potential applications of AI in combatting the AMR problem through drug discovery and development, antimicrobial stewardship, diagnostics, and surveillance, and their use in public health. We then discuss the technical, infrastructure, regulatory, ethical, and policy challenges that affect these domains.;10.1016/s1473-3099(25)00313-5
"Anna Odone; Chiara Barbati; Silvia Amadasi; Tanja Schultz; David B. Resnik";Artificial intelligence and infectious diseases: an evidence-driven conceptual framework for research, public health, and clinical practice;The Lancet Infectious Diseases;;;;;As artificial intelligence (AI) is projected to radically shape health care, its role in infectious disease prevention and management is drawing attention. AI offers promising opportunities to help tackle infectious disease threats and improve clinical management, outbreak detection, and infection control. As part of a dedicated Series on AI and infectious diseases, this paper sets the scene by proposing a conceptual framework that, building upon available AI models and data sources related to pathogens, human hosts, and the environment, comprehensively identifies selected domains where AI can be applied across infectious disease research, public health, and clinical practice. Building on this foundation, the two companion papers in the Series follow with an in-depth exploration of AI applications in diagnostics and antimicrobial resistance. We provide an overview of current and future applications of AI in infectious disease prevention and management, exploring the broad potential, available experimental evidence, real-life implementation examples, and technical normative, ethical, and policy barriers.;10.1016/S1473-3099(25)00412-8
"Flavia Pennisi; Antonio Pinto; Giovanni Emanuele Ricciardi; Carlo Signorelli; Vincenza Gianfredi";The Role of Artificial Intelligence and Machine Learning Models in Antimicrobial Stewardship in Public Health: A Narrative Review;Antibiotics;2025;14;2;134;;
"R. Adams; K. E. Henry; A. Sridharan; H. Soleimani; A. Zhan; N. Rawat; L. Johnson; D. N. Hager; S. E. Cosgrove; A. Markowski; E. Y. Klein; E. S. Chen; M. O. Saheed; M. Henley; S. Miranda; K. Houston; R. C. Linton; A. R. Ahluwalia; A. W. Wu; S. Saria";Prospective, multi-site study of patient outcomes after implementation of the TREWS machine learning-based early warning system for sepsis;Nat Med;2022;28;7;1455–1460;Early recognition and treatment of sepsis are linked to improved patient outcomes. Machine learning-based early warning systems may reduce the time to recognition, but few systems have undergone clinical evaluation. In this prospective, multi-site cohort study, we examined the association between patient outcomes and provider interaction with a deployed sepsis alert system called the Targeted Real-time Early Warning System (TREWS). During the study, 590,736 patients were monitored by TREWS across five hospitals. We focused our analysis on 6,877 patients with sepsis who were identified by the alert before initiation of antibiotic therapy. Adjusting for patient presentation and severity, patients in this group whose alert was confirmed by a provider within 3?h of the alert had a reduced in-hospital mortality rate (3.3%, confidence interval (CI) 1.7, 5.1%, adjusted absolute reduction, and 18.7%, CI 9.4, 27.0%, adjusted relative reduction), organ failure and length of stay compared with patients whose alert was not confirmed by a provider within 3?h. Improvements in mortality rate (4.5%, CI 0.8, 8.3%, adjusted absolute reduction) and organ failure were larger among those patients who were additionally flagged as high risk. Our findings indicate that early warning systems have the potential to identify sepsis patients early and improve patient outcomes and that sepsis patients who would benefit the most from early treatment can be identified and prioritized at the time of the alert.;10.1038/s41591-022-01894-0
"Jacob Devlin; Ming-Wei Chang; Kenton Lee; Kristina Toutanova";Bert: Pre-training of deep bidirectional transformers for language understanding;Proceedings of the 2019 conference of the North American chapter of the association for computational linguistics: human language technologies, volume 1 (long and short papers);2019;;;4171–4186;;
"S. Malla; J. A. A. P";COVID-19 outbreak: An ensemble pre-trained deep learning model for detecting informative tweets;Appl Soft Comput;2021;107;;107495;"On 11 March 2020, the (WHO) World Health Organization declared COVID-19 (CoronaVirus Disease 2019) as a pandemic. A further crisis has manifested mass fear and panic, driven by lack of information, or sometimes outright misinformation, alongside the coronavirus pandemic. Twitter is one of the prominent and trusted social media in this current outbreak. Over time, boundless COVID-19 headlines and vast awareness have been spreading, with tweets, updates, videos, and explosive posts. Few studies have been performed on the pandemic to detect and interrelate various disease types, including current coronavirus. However, it is pretty tricky to discriminate and detect a specific category. This work is motivated by the need to inform society about limiting irrelevant information and avoiding spreading negative emotions. In this context, the current work focuses on informative tweet detection in the pandemic to provide relevant information to the government, medical organizations, victims services, etc. This paper used a Majority Voting technique-based Ensemble Deep Learning (MVEDL) model. This MVEDL model is used to identify COVID-19 related (INFORMATIVE) tweets. The state-of-art deep learning models RoBERTa, BERTweet, and CT-BERT are used for best performance with the MVEDL model. The COVID-19 English labeled tweets"" dataset is used for training and testing the MVEDL model. The MVEDL model has shown 91.75 percent accuracy, 91.14 percent F1-score and outperforms the traditional machine learning and deep learning models. We also investigate how to use the MVEDL model for sentiment analysis on 226668 unlabeled COVID-19 tweets and their informative tweets. The application section discussed a comprehensive analysis of both actual and informative tweets. According to our knowledge, this is the first work on COVID-19 sentiment analysis using a deep learning ensemble model.""";10.1016/j.asoc.2021.107495
"H. Li; R. C. Gerkin; A. Bakke; R. Norel; G. Cecchi; C. Laudamiel; M. Y. Niv; K. Ohla; J. E. Hayes; V. Parma; P. Meyer";Text-based predictions of COVID-19 diagnosis from self-reported chemosensory descriptions;Commun Med (Lond);2023;3;1;104;"BACKGROUND: There is a prevailing view that humans' capacity to use language to characterize sensations like odors or tastes is poor, providing an unreliable source of information. METHODS: Here, we developed a machine learning method based on Natural Language Processing (NLP) using Large Language Models (LLM) to predict COVID-19 diagnosis solely based on text descriptions of acute changes in chemosensation, i.e., smell, taste and chemesthesis, caused by the disease. The dataset of more than 1500 subjects was obtained from survey responses early in the COVID-19 pandemic, in Spring 2020. RESULTS: When predicting COVID-19 diagnosis, our NLP model performs comparably (AUC ROC?~?0.65) to models based on self-reported changes in function collected via quantitative rating scales. Further, our NLP model could attribute importance of words when performing the prediction; sentiment and descriptive words such as smell"", ""taste"", ""sense"", had strong contributions to the predictions. In addition, adjectives describing specific tastes or smells such as ""salty"", ""sweet"", ""spicy"", and ""sour"" also contributed considerably to predictions. CONCLUSIONS: Our results show that the description of perceptual symptoms caused by a viral infection can be used to fine-tune an LLM model to correctly predict and interpret the diagnostic status of a subject. In the future, similar models may have utility for patient verbatims from online health portals or electronic health records.";10.1038/s43856-023-00334-5
;;;;;;;;
"2730-664x
Li, Hongyang
Gerkin, Richard C
Bakke, Alyssa
Orcid: 0000-0002-1685-2000
Norel, Raquel
Orcid: 0000-0001-7737-4172
Cecchi, Guillermo
Orcid: 0000-0003-1013-8348
Laudamiel, Christophe
Niv, Masha Y
Orcid: 0000-0001-8275-8795
Ohla, Kathrin
Hayes, John E
Parma, Valentina
Meyer, Pablo
Orcid: 0000-0001-5281-4661
Journal Article
England
2023/07/28
Commun Med (Lond). 2023 Jul 27;3(1):104. doi: 10.1038/s43856-023-00334-5.";;"Health Care and Life Sciences, IBM T.J. Watson Research Center, Yorktown Heights, NY, USA.
School of Life Sciences, Arizona State University, Tempe, AZ, USA.
Osmo, Cambridge, MA, USA.
Department of Food Science, The Pennsylvania State University, University Park, PA, USA.
Department of Scent Engineering, DreamAir LLC, New York, NY, USA.
The Faculty of Agriculture, Food and Environment, The Hebrew University of Jerusalem, Rehovot, Israel.
Science & Research, dsm-firmenich, Satigny, Switzerland.
Monell Chemical Senses Center, Philadelphia, PA, USA.
Health Care and Life Sciences, IBM T.J. Watson Research Center, Yorktown Heights, NY, USA. pmeyerr@us.ibm.com.";;;;;;
"L. Miglietta; T. M. Rawson; R. Galiwango; A. Tasker; D. K. Ming; D. Akogo; C. Ferreyra; E. O. Aboagye; N. C. Gordon; C. Garcia-Vidal; J. Rodriguez-Manzano; A. H. Holmes";Artificial intelligence and infectious disease diagnostics: state of the art and future perspectives;Lancet Infect Dis;2025;;;;Artificial intelligence (AI) is reshaping infectious disease diagnostics by supporting clinical decision making, optimising laboratory and clinical workflows, and enabling real-time disease surveillance. AI approaches improve pathogen detection, antimicrobial stewardship, and treatment monitoring, enhancing diagnostic accuracy, efficiency, and scalability. The role of AI in combating antimicrobial resistance is particularly significant, enabling rapid pathogen identification and personalised treatment. Despite progress over the past two decades, widespread AI adoption in infectious disease diagnostics faces challenges. In high-income countries, fragmented data ecosystems, incomplete datasets, and algorithmic bias hinder clinical integration. Meanwhile, low-income and middle-income countries contend with limited digital infrastructure, unstandardised data, and financial constraints, exacerbating disparities in diagnostic access. Further barriers include concerns over interoperability, data privacy, cybersecurity, and the regulation of AI implementation. This paper examines the role of AI in infectious disease diagnostics, highlighting both opportunities and limitations. It underscores the need for coordinated investments in digital infrastructure, harmonised data-sharing frameworks, and clinician engagement to support equitable, sustainable adoption. Addressing these challenges will enable health-care systems to harness the potential of AI to improve infectious disease detection, prevention, and management of infectious diseases, thereby strengthening global health resilience.;10.1016/s1473-3099(25)00354-8
"Yash Aryaman; Amit Kumar Tyagi";Impact of Artificial Intelligence on Medical Science Post Covid 19 Pandemic;Robotic Process Automation;2023;;;197–210;;
